sequence	md5	length	database	accession	description	start	end	evalue	post_processed	date	entry	name
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	531	560	1.6E-9	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	500	529	3.5E-10	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	250	281	4.8E-7	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	469	498	2.4E-11	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	189	219	7.4E-10	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	314	342	1.4E-8	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	592	620	2.9E-9	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	407	437	2.1E-12	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	376	404	1.8E-8	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	438	467	1.6E-8	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	283	312	3.8E-9	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	562	591	4.1E-8	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	345	374	3.9E-7	T	13-03-2023	-	-
sp|P24821|TENA_HUMAN	e8427bf5a0779eca20887e59e5e98982	2201	Gene3D	G3DSA:2.10.25.10	Laminin	220	249	3.0E-9	T	13-03-2023	-	-
sp|F5GYI3|UBA1L_HUMAN	d28366f18556a06adbee54af1d46347e	381	MobiDBLite	mobidb-lite	consensus disorder prediction	87	141	-	T	13-03-2023	-	-
sp|F5GYI3|UBA1L_HUMAN	d28366f18556a06adbee54af1d46347e	381	PANTHER	PTHR15960	LD44032P	1	380	0.0	T	13-03-2023	IPR038870	Ubiquitin-associated protein 1
sp|F5GYI3|UBA1L_HUMAN	d28366f18556a06adbee54af1d46347e	381	MobiDBLite	mobidb-lite	consensus disorder prediction	185	228	-	T	13-03-2023	-	-
sp|F5GYI3|UBA1L_HUMAN	d28366f18556a06adbee54af1d46347e	381	MobiDBLite	mobidb-lite	consensus disorder prediction	193	220	-	T	13-03-2023	-	-
sp|F5GYI3|UBA1L_HUMAN	d28366f18556a06adbee54af1d46347e	381	Gene3D	G3DSA:1.20.120.1920	UBAP1 SOUBA domain	265	381	1.8E-43	T	13-03-2023	IPR042575	Ubiquitin-associated protein 1, C-terminal
sp|F5GYI3|UBA1L_HUMAN	d28366f18556a06adbee54af1d46347e	381	CDD	cd14316	UBA2_UBAP1_like	341	377	4.18384E-15	T	13-03-2023	-	-
sp|F5GYI3|UBA1L_HUMAN	d28366f18556a06adbee54af1d46347e	381	ProSiteProfiles	PS51497	UMA domain profile.	4	50	9.464333	T	13-03-2023	IPR023340	UMA domain
sp|F5GYI3|UBA1L_HUMAN	d28366f18556a06adbee54af1d46347e	381	FunFam	G3DSA:1.20.120.1920:FF:000002	Ubiquitin-associated protein 1-like a	265	381	2.8E-71	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	MobiDBLite	mobidb-lite	consensus disorder prediction	13	39	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	862	884	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	SUPERFAMILY	SSF81665	Calcium ATPase, transmembrane domain M	41	1014	4.05E-130	T	13-03-2023	IPR023298	P-type ATPase, transmembrane domain superfamily
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	FunFam	G3DSA:1.20.1110.10:FF:000163	-	92	130	1.3E-27	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	150	290	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Gene3D	G3DSA:3.40.1110.10	-	384	594	0.0	T	13-03-2023	IPR023299	P-type ATPase, cytoplasmic domain N
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	96	118	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TIGRFAM	TIGR01106	ATPase-IIC_X-K: Na,H/K antiporter P-type ATPase, alpha subunit	27	1023	0.0	T	13-03-2023	IPR005775	P-type ATPase subfamily IIC, subunit alpha
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	776	798	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	SUPERFAMILY	SSF81660	Metal cation-transporting ATPase, ATP-binding domain N	383	595	2.55E-70	T	13-03-2023	IPR023299	P-type ATPase, cytoplasmic domain N
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	SMART	SM00831	Cation_ATPase_N_a_2	42	116	7.6E-22	T	13-03-2023	IPR004014	Cation-transporting P-type ATPase, N-terminal
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	FunFam	G3DSA:2.70.150.10:FF:000106	Sodium/potassium-transporting ATPase subunit alpha	137	276	1.4E-79	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	1	95	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	FunFam	G3DSA:1.20.1110.10:FF:000095	Sodium/potassium-transporting ATPase subunit alpha-1	711	1023	0.0	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	FunFam	G3DSA:1.20.1110.10:FF:000095	Sodium/potassium-transporting ATPase subunit alpha-1	255	393	6.5E-57	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	SUPERFAMILY	SSF56784	HAD-like	362	759	1.22E-40	T	13-03-2023	IPR036412	HAD-like superfamily
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Pfam	PF00122	E1-E2 ATPase	164	354	6.2E-45	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	875	912	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	933	952	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Gene3D	G3DSA:1.20.1110.10	-	92	1017	0.0	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	802	824	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	FunFam	G3DSA:3.40.50.1000:FF:000004	Sodium/potassium-transporting ATPase subunit alpha	588	755	1.5E-93	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	1005	1023	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PANTHER	PTHR43294	SODIUM/POTASSIUM-TRANSPORTING ATPASE SUBUNIT ALPHA	15	1023	0.0	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	981	985	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Gene3D	G3DSA:3.40.50.1000	-	371	755	0.0	T	13-03-2023	IPR023214	HAD superfamily
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	FunFam	G3DSA:3.40.1110.10:FF:000001	Sodium/potassium-transporting ATPase subunit alpha	384	594	3.5E-117	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	986	1004	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Pfam	PF00689	Cation transporting ATPase, C-terminus	799	1008	2.4E-44	T	13-03-2023	IPR006068	Cation-transporting P-type ATPase, C-terminal
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	953	975	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	291	315	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	98	120	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	214	228	3.3E-43	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	374	388	3.3E-43	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	587	598	3.3E-43	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	609	619	3.3E-43	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	715	734	3.3E-43	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00119	P-type cation-transporting ATPase superfamily signature	739	751	3.3E-43	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	119	129	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	322	344	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	321	344	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	290	312	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	985	1002	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TIGRFAM	TIGR01494	ATPase_P-type: HAD ATPase, P-type, family IC	136	405	1.5E-45	T	13-03-2023	IPR001757	P-type ATPase
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TIGRFAM	TIGR01494	ATPase_P-type: HAD ATPase, P-type, family IC	689	806	2.6E-32	T	13-03-2023	IPR001757	P-type ATPase
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	316	320	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	MobiDBLite	mobidb-lite	consensus disorder prediction	216	235	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	953	980	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Gene3D	G3DSA:2.70.150.10	-	38	276	0.0	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	SFLD	SFLDS00003	Haloacid Dehalogenase	355	767	0.0	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	913	932	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	SUPERFAMILY	SSF81653	Calcium ATPase, transduction domain A	166	272	3.4E-29	T	13-03-2023	IPR008250	P-type ATPase, A domain superfamily
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	CDD	cd02608	P-type_ATPase_Na-K_like	62	1020	0.0	T	13-03-2023	IPR005775	P-type ATPase subfamily IIC, subunit alpha
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	130	149	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	ProSitePatterns	PS00154	E1-E2 ATPases phosphorylation site.	376	382	-	T	13-03-2023	IPR018303	P-type ATPase, phosphorylation site
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	SFLD	SFLDF00027	p-type atpase	355	767	0.0	T	13-03-2023	IPR044492	P-type ATPase, haloacid dehalogenase domain
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	913	932	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.	345	852	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	130	149	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Pfam	PF13246	Cation transport ATPase (P-type)	427	521	7.8E-23	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Phobius	TRANSMEMBRANE	Region of a membrane-bound protein predicted to be embedded in the membrane.	853	874	-	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	Pfam	PF00690	Cation transporter/ATPase, N-terminus	44	111	1.0E-16	T	13-03-2023	IPR004014	Cation-transporting P-type ATPase, N-terminal
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	103	117	7.7E-122	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	130	150	7.7E-122	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	294	316	7.7E-122	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	367	388	7.7E-122	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	505	523	7.7E-122	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	787	808	7.7E-122	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	854	874	7.7E-122	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	916	936	7.7E-122	T	13-03-2023	-	-
sp|P05023|AT1A1_HUMAN	45279661d795bdfaacc682f6348d2ea5	1023	PRINTS	PR00121	Sodium/potassium-transporting ATPase signature	950	974	7.7E-122	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	FunFam	G3DSA:1.20.5.4090:FF:000001	leucine-rich repeat flightless-interacting protein 2 isoform X1	161	254	1.5E-49	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	Gene3D	G3DSA:1.20.5.4090	-	161	254	2.5E-39	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	461	808	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	PANTHER	PTHR19212	LEUCINE RICH REPEAT  IN FLII  INTERACTING PROTEIN	247	671	1.8E-119	T	13-03-2023	IPR019139	Leucine-rich repeat flightless-interacting protein 1/2
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	644	662	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	41	96	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	Coils	Coil	Coil	132	184	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	544	567	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	Coils	Coil	Coil	588	608	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	581	622	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	718	758	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	Coils	Coil	Coil	192	230	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	526	543	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	Pfam	PF09738	LRRFIP family	23	314	3.6E-83	T	13-03-2023	IPR019139	Leucine-rich repeat flightless-interacting protein 1/2
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	476	516	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	759	773	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	663	680	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	783	808	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	Coils	Coil	Coil	33	60	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	108	126	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	393	415	-	T	13-03-2023	-	-
sp|Q32MZ4|LRRF1_HUMAN	559b5959374bcc553312305756b72156	808	MobiDBLite	mobidb-lite	consensus disorder prediction	41	126	-	T	13-03-2023	-	-
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	PANTHER	PTHR11947	PYRUVATE DEHYDROGENASE KINASE	10	369	0.0	T	13-03-2023	IPR039028	PDK/BCKDK protein kinase
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	SUPERFAMILY	SSF55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	190	358	1.57E-26	T	13-03-2023	IPR036890	Histidine kinase/HSP90-like ATPase superfamily
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	FunFam	G3DSA:3.30.565.10:FF:000007	Mitochondrial pyruvate dehydrogenase kinase isoform 2	184	368	8.2E-105	T	13-03-2023	-	-
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	SUPERFAMILY	SSF69012	alpha-ketoacid dehydrogenase kinase, N-terminal domain	14	173	5.76E-61	T	13-03-2023	IPR036784	Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	Pfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	238	359	3.6E-12	T	13-03-2023	IPR003594	Histidine kinase/HSP90-like ATPase
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	CDD	cd16929	HATPase_PDK-like	192	359	9.62614E-78	T	13-03-2023	-	-
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	Gene3D	G3DSA:1.20.140.20	-	7	182	1.2E-65	T	13-03-2023	IPR036784	Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	ProSiteProfiles	PS50109	Histidine kinase domain profile.	238	362	17.740377	T	13-03-2023	IPR005467	Histidine kinase domain
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	SMART	SM00387	HKATPase_4	236	362	3.7E-9	T	13-03-2023	IPR003594	Histidine kinase/HSP90-like ATPase
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	FunFam	G3DSA:1.20.140.20:FF:000001	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial	7	182	2.3E-99	T	13-03-2023	-	-
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	MobiDBLite	mobidb-lite	consensus disorder prediction	383	406	-	T	13-03-2023	-	-
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	Pfam	PF10436	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase	26	188	1.1E-48	T	13-03-2023	IPR018955	Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal
sp|Q15120|PDK3_HUMAN	41b7db524967fbcf5feefa45d54e1a68	406	Gene3D	G3DSA:3.30.565.10	-	184	368	4.0E-56	T	13-03-2023	IPR036890	Histidine kinase/HSP90-like ATPase superfamily
sp|Q9UHD0|IL19_HUMAN	b02fa9bcbd48a1474de3b3072712bcab	177	ProSitePatterns	PS00520	Interleukin-10 family signature.	70	90	-	T	13-03-2023	IPR020423	Interleukin-10, conserved site
sp|Q9UHD0|IL19_HUMAN	b02fa9bcbd48a1474de3b3072712bcab	177	Phobius	NON_CYTOPLASMIC_DOMAIN	Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.	19	177	-	T	13-03-2023	-	-
sp|Q9UHD0|IL19_HUMAN	b02fa9bcbd48a1474de3b3072712bcab	177	Pfam	PF00726	Interleukin 10	23	168	1.8E-8	T	13-03-2023	IPR020443	Interleukin-10/19/20/22/24/26 family
sp|Q9UHD0|IL19_HUMAN	b02fa9bcbd48a1474de3b3072712bcab	177	Phobius	SIGNAL_PEPTIDE_N_REGION	N-terminal region of a signal peptide.	1	2	-	T	13-03-2023	-	-
sp|Q9UHD0|IL19_HUMAN	b02fa9bcbd48a1474de3b3072712bcab	177	Phobius	SIGNAL_PEPTIDE_H_REGION	Hydrophobic region of a signal peptide.	3	14	-	T	13-03-2023	-	-
sp|Q9UHD0|IL19_HUMAN	b02fa9bcbd48a1474de3b3072712bcab	177	PRINTS	PR01934	Interleukin-19 signature	30	42	1.0E-14	T	13-03-2023	IPR020421	Interleukin-19
